timeStamp,groupName,groupIntroduction,iconImg,webURL,twitter,instagram,youtube,other,stageLiveTitle,stageLiveContent,roomLiveTitle,roomLiveContent,participationTitle,participationContent,exhibitionTitle,exhibitionContent,saleTitle,roomLiveDate,exhibitonDate,saleContent,participationGuidance
10/20/2021 18:04:41,スカーフィ,岐大祭のために結成しました。特に書く事がないのでバンド名の説明をしますが、スカーフィはカービィのキャラです。検索すると怖い画像が出てくるかもしれないので注意してください。普段は可愛い奴です。,https://drive.google.com/open?id=1rJ0Tb3GpyfA-gu4NMPZUBWQ4WI-W_Fe4,,,,,,宮本浩次（ハレルヤ、P.S. I love you、昇る太陽）のコピーバンド演奏,宮本浩次ソロの楽曲をバンドで演奏しました。ハレルヤ、P.S. I love you、昇る太陽の3曲です。全力で弾いて叩いて歌った、熱量のある動画になったと思うのでエネルギーを受け取ってくれたら嬉しいです。ありがとう岐大祭！！,,,,,,,,,,,
10/20/2021 20:34:59,岐阜大学馬術部,岐阜大学馬術部では約30人の部員が、ゼンノトライブ、りんご(レントリリー)、おもちの3頭の馬、ジャック(犬)と共に活動してます！毎日朝6時から馬術の練習をしています。また、夕方16時半から曳き馬や餌やりをしています。2020年6月に発生した火災からの復興に奮闘中で、現在、新厩舎の建設中です！！,https://drive.google.com/open?id=1sFyEJRrKi2VCc2N6js_AaUzlY_WY1H1y,, https://mobile.twitter.com/gidai_bajutubu,,,,,,,,,,,,蹄鉄&たてがみストラップ販売,,,蹄鉄とたてがみストラップをセットで販売します。限定50個です！(注)たてがみストラップはハンドメイドです。蹄鉄、たてがみストラップの大きさや色はランダムです。,
10/21/2021 16:16:01,別冊ガーネット,アイドル文化の普及を目指して、アイドルコピーダンスをしているサークルです！,https://drive.google.com/open?id=1lSI90N_irs9z07bpfjbwBegmvgS9tv0f,,https://twitter.com/garnet_gifu_u?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,https://www.youtube.com/channel/UCLUlFrX82_WkuI5D6VVbiYQ/featured,,別冊ガーネット　アイドルコピーダンスパフォーマンス～岐大祭スペシャル～,私たちの好きなアイドルさんの楽曲を踊ってみました！見てくださるとうれしいです！！,別冊ガーネット　アイドルコピーダンスパフォーマンス～2021年度の活動を振り返ろう！～,2021年度 別冊ガーネットの活動で踊ってみた動画の紹介です！これまでの活動を振り返ります！ぜひぜひ見てください！！,,,,,,30日12:00,,,
10/22/2021 8:38:22,野生生物同好会カテナビタ,カテナビタには生き物好きの学生が集まり楽しく活動しています！普段は大学周辺での鳥見と部員によるスライド発表を行う定例会を行っています。現在はコロナで実施できていませんが、休日を利用し北海道から沖縄まで様々な場所へ遠征もしています！,https://drive.google.com/open?id=1m2lAnj6f7Q8ytiacT33stt-O37GC_3aa,http://catena-vita.jugem.jp/,https://twitter.com/catena_gifu_u,,,,,,,,剥製紹介,剥製の基本知識やカテナビタでこれまで作成した剥製について紹介します。両日ともに16時からのスタートです！,カテナビタ活動紹介,カテナビタの詳しい活動について初めての方にも分かりやすく紹介します。,カテナビタグッズ販売,,,くるみストラップ、部員が撮影した写真で作ったポストカード・缶バッジを販売します。,
10/22/2021 18:35:47,生物科学研究会, 昆虫類🐞、魚類🐟、両生類🐸、爬虫類🐍、鳥類🐤、植物🌼など幅広い分野で活動しています！ 水曜の13時~(＋不定期)に活動しています。生き物、自然が好きな人を歓迎します。一緒に生き物探しに行きましょう！,https://drive.google.com/open?id=1c2Ui5bB-97ve8yNbxrna79uOMYfXddlF,,twitter.com/gidai_seiken,https://www.instagram.com/seiken_ryoribu/?hl=ja,,,,,,,,,SEIKEN MOVIES 🐟🦗🦆,生物科学研究会(通称せいけん)部員が虫、魚、鳥といった様々な生き物を楽しみ、紹介する動画をYouTube上に公開します,せいけんグッズ販売,,,せいけん部員が撮影した生き物の写真をもとにして作った缶バッジ、ポストカードの販売。その他にキーホルダー、前年の学祭で反響を呼んだ魚の擬人化図鑑を再び販売します。※魚の擬人化図鑑は前年の物と同じ内容です。,
10/22/2021 23:25:23,岐阜大学コーラスクラブ,私たちコーラスクラブは、宗教曲や合唱曲、J-popなど様々なジャンルを楽しく歌っています。現在は制限の緩和により。zoom練習から対面練習に切り替え、マスクをしながらではありますが、顔を合わせて歌うことに喜びを持って活動しています。１月には定期演奏会を開催します。公式SNSやYouTubeをチェックしていただけたら幸いです。,https://drive.google.com/open?id=1A0xNeA4Ib-UeUDqwXJnqcmQkoRL3LqaP,https://gifuchorusweb.wixsite.com/gifu-chorus,https://twitter.com/gcc_chorus,https://www.instagram.com/gifufufu.chorus/?igshid=1y05cbic2g3v9,https://www.youtube.com/channel/UC9vPO8RJETk4ofsTfaE0C6Q,,コーラスクラブ　定期演奏会　アトラクションステージ,昨年度の定期演奏会より、ダンスやセリフがついたJ-pop曲を歌うステージをお届けします！テーマは「人生に恋あり」。昭和から平成、様々な恋愛ソングを歌っています！,,,ボードゲーム＠岐コラ！,zoomを使ってボードゲーム＋αで遊ぼう！,岐コラ　定期演奏会！,過去３年分の定期演奏会の様子です。宗教曲や合唱曲、ダンスや劇を含むJ-pop曲など様々な分野の曲を歌っています！,,,,,できればカメラon！
10/23/2021 13:01:39,岐阜大学美術教育講座,岐阜大学美術教育講座です。,https://drive.google.com/open?id=1CBfWxsQQfpg6DQxF1Do04CYYIj1LhYzG,www1.gifu-u.ac.jp/~bijutu/gakusai2021,,www.instagram.com/gu_edu_art,,,,,,,,,学祭展2021,美術教育講座で制作したWebサイトとインスタグラムにおいて、作品を展示しています。授業作品と個人制作作品を出展しています。,,,,,
10/23/2021 15:08:11,卓球部,岐阜大学卓球部です！第二体育館にて活動しています！経験者はもちろん、初心者でも楽しく全力で卓球しています！,https://drive.google.com/open?id=16dHiCSviCyxs6vG6L8n8uLFOb2EtIIBZ,https://gifuuttc.jimdofree.com/,https://mobile.twitter.com/gu_ttc,,,,,,,,,,,,Tシャツ販売,,,Tシャツを販売します。限定20着で販売いたします。サイズには限りがあるのでご了承ください。,
10/23/2021 18:11:36,落語研究会,落語の練習、寄席の開催、出前寄席の実施など、自由にのびのびと活動しています。岐大祭寄席を対面で開催したかったですが、今年はオンラインでの開催となりました。コロナの情勢が落ち着いてきたら、出前寄席も再開してどんどん落語をしていきます！落語をしてほしい団体や個人、イベント開催者の皆様はぜひ岐阜大学落語研究会にご連絡くださいね！,https://drive.google.com/open?id=1fLZ2ZH5qfbcBNkJk2opWo9fNZohuFGpm,http://gcochiken.gozaru.jp/,https://twitter.com/gifu_otuken,,https://www.youtube.com/channel/UCte9uceLm2NM4b-qPdy1PaA,,,,岐大祭オンライン寄席,岐大祭のために撮影した寄席の動画です。これまでに演じたことのあるネタや、新たに覚えたネタなどを披露しています。,,,,,,,,,
10/23/2021 19:04:22,軽音楽部　New Stars Jazz Orchestra ,私たちNew Stars Jazz Orchestra は普段ビックバンドでジャズを演奏していますが、今回は”コンボ“という少人数の形式でジャズ演奏します。ビックバンドとはまた違うジャズのお洒落な雰囲気を味わってみてください。,https://drive.google.com/open?id=1f8qbXUH7qXxREjeXdrFodFPrbDV6FY69,https://m.facebook.com/profile.php?id=169961986436586&ref=content_filter,https://twitter.com/new_stars_jazz?t=3AmcC4h1sERhi96dcQRuZQ&s=06,https://www.instagram.com/new_stars_j.o/?utm_medium=copy_link,http://www.youtube.com/channel/UCSKYhzCG4iWThhEjFqbfHtg?,,,,ジャズセッション,コンボという少人数の形式でジャズを演奏します。,,,,,,10月31日(日),,,
